size;ancho;grosor;litros;altura;peso;nivel;olas_grandes;edad;type;;;;;;;;;;;;;;tiene;tu;tabla;de;grosor;(en;pulgadas;p.e.;2.5)?;¿Qué;volumen;tiene;tu;tabla;(en;litros;p.e.;30)?;¿Cuánto;mides;(en;cm;p.e.;180)?;¿Cuánto;pesas;(en;kg;p.e.;75)?;¿Cuál;es;tu;nivel;de;surfing?;¿Surfeas;olas;de;mas;de;1.5;metros;con;esta;tabla?;¿Qué;edad;tienes?;Response;Type;Start;Date;(UTC);Stage;Date;(UTC);Submit;Date;(UTC);Network;ID;Tags
5.5;20.5;2.63;33;175;80;Pro;0;29;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.3;20.5;2.25;30;188;77;Pro;0;37;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.6;20.7;2.4;38.7;180;70;Pro;0;28;evolutive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.5;20.5;2.63;33;178;85;Advanced;0;35;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.3;20.5;2.25;30;185;77;Advanced;0;32;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.6;20.7;2.4;38.7;180;70;Intermediate;0;28;evolutive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.9;20.5;2.4;35;185;78;Intermediate;0;30;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.8;20;2.3;34;185;78;Advanced;0;34;fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
